sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
549	unweighted	CTCN	8tp	AS2122	AS2121	SB	TY	among sites	0.3060620517027062
550	unweighted	CTCN	8tp	AS2122	AS2127	SB	SB	within SB	0.5209611914892612
551	unweighted	CTCN	8tp	AS2122	AS2125	SB	TY	among sites	0.5402198465734679
552	unweighted	CTCN	8tp	AS2122	AS2123	SB	SB	within SB	0.5369329114799887
553	unweighted	CTCN	8tp	AS2122	AS2129	SB	TY	among sites	0.5917894701650278
554	unweighted	CTCN	8tp	AS2122	AS2130	SB	SB	within SB	0.5620901563387712
555	unweighted	CTCN	8tp	AS2122	AS2126	SB	SB	within SB	0.5128202724610533
556	unweighted	CTCN	8tp	AS2122	AS2128	SB	TY	among sites	0.529032967776045
557	unweighted	CTCN	8tp	AS2122	AS2124	SB	TY	among sites	0.5516686071161331
558	unweighted	CTCN	8tp	AS2121	AS2127	TY	SB	among sites	0.5304058673072195
559	unweighted	CTCN	8tp	AS2121	AS2125	TY	TY	within TY	0.5549064951695355
560	unweighted	CTCN	8tp	AS2121	AS2123	TY	SB	among sites	0.5749953190768965
561	unweighted	CTCN	8tp	AS2121	AS2129	TY	TY	within TY	0.5868418126888677
562	unweighted	CTCN	8tp	AS2121	AS2130	TY	SB	among sites	0.5571500099858147
563	unweighted	CTCN	8tp	AS2121	AS2126	TY	SB	among sites	0.5409537123005226
564	unweighted	CTCN	8tp	AS2121	AS2128	TY	TY	within TY	0.5481758849960029
565	unweighted	CTCN	8tp	AS2121	AS2124	TY	TY	within TY	0.5354181706843762
566	unweighted	CTCN	8tp	AS2127	AS2125	SB	TY	among sites	0.4722370560020448
567	unweighted	CTCN	8tp	AS2127	AS2123	SB	SB	within SB	0.5825333558281931
568	unweighted	CTCN	8tp	AS2127	AS2129	SB	TY	among sites	0.5571454083035343
569	unweighted	CTCN	8tp	AS2127	AS2130	SB	SB	within SB	0.546300886135901
570	unweighted	CTCN	8tp	AS2127	AS2126	SB	SB	within SB	0.443213272943964
571	unweighted	CTCN	8tp	AS2127	AS2128	SB	TY	among sites	0.3984792524184541
572	unweighted	CTCN	8tp	AS2127	AS2124	SB	TY	among sites	0.5262998694269353
573	unweighted	CTCN	8tp	AS2125	AS2123	TY	SB	among sites	0.5910528514905286
574	unweighted	CTCN	8tp	AS2125	AS2129	TY	TY	within TY	0.5533514761540703
575	unweighted	CTCN	8tp	AS2125	AS2130	TY	SB	among sites	0.5414734271823913
576	unweighted	CTCN	8tp	AS2125	AS2126	TY	SB	among sites	0.35591859628062666
577	unweighted	CTCN	8tp	AS2125	AS2128	TY	TY	within TY	0.5134987994319121
578	unweighted	CTCN	8tp	AS2125	AS2124	TY	TY	within TY	0.5432430265260421
579	unweighted	CTCN	8tp	AS2123	AS2129	SB	TY	among sites	0.5986184696467448
580	unweighted	CTCN	8tp	AS2123	AS2130	SB	SB	within SB	0.5699706784595767
581	unweighted	CTCN	8tp	AS2123	AS2126	SB	SB	within SB	0.5910873166967879
582	unweighted	CTCN	8tp	AS2123	AS2128	SB	TY	among sites	0.6122805649284356
583	unweighted	CTCN	8tp	AS2123	AS2124	SB	TY	among sites	0.4579138038800474
584	unweighted	CTCN	8tp	AS2129	AS2130	TY	SB	among sites	0.448300000350898
