sample_name	metric	Treatment	TP	a	b	Site_a	Site_b	withinamong	distance
0	weighted	CTCN	8tp	AS2122	AS2121	SB	TY	among sites	0.09095339151313464
1	weighted	CTCN	8tp	AS2122	AS2127	SB	SB	within SB	0.15018076603101005
2	weighted	CTCN	8tp	AS2122	AS2125	SB	TY	among sites	0.16212308145711046
3	weighted	CTCN	8tp	AS2122	AS2123	SB	SB	within SB	0.21705515965994548
4	weighted	CTCN	8tp	AS2122	AS2129	SB	TY	among sites	0.19301617676103933
5	weighted	CTCN	8tp	AS2122	AS2130	SB	SB	within SB	0.17982656707210765
6	weighted	CTCN	8tp	AS2122	AS2126	SB	SB	within SB	0.15694657314909002
7	weighted	CTCN	8tp	AS2122	AS2128	SB	TY	among sites	0.22407823449111292
8	weighted	CTCN	8tp	AS2122	AS2124	SB	TY	among sites	0.17629129884073358
9	weighted	CTCN	8tp	AS2121	AS2127	TY	SB	among sites	0.12964414012092007
10	weighted	CTCN	8tp	AS2121	AS2125	TY	TY	within TY	0.15836119280864855
11	weighted	CTCN	8tp	AS2121	AS2123	TY	SB	among sites	0.20172153360384848
12	weighted	CTCN	8tp	AS2121	AS2129	TY	TY	within TY	0.184643668839054
13	weighted	CTCN	8tp	AS2121	AS2130	TY	SB	among sites	0.17019521968373733
14	weighted	CTCN	8tp	AS2121	AS2126	TY	SB	among sites	0.14701965720255786
15	weighted	CTCN	8tp	AS2121	AS2128	TY	TY	within TY	0.2154769623139421
16	weighted	CTCN	8tp	AS2121	AS2124	TY	TY	within TY	0.1608650876870194
17	weighted	CTCN	8tp	AS2127	AS2125	SB	TY	among sites	0.13719677763860672
18	weighted	CTCN	8tp	AS2127	AS2123	SB	SB	within SB	0.1958753584999143
19	weighted	CTCN	8tp	AS2127	AS2129	SB	TY	among sites	0.15613822794758234
20	weighted	CTCN	8tp	AS2127	AS2130	SB	SB	within SB	0.17075357051495552
21	weighted	CTCN	8tp	AS2127	AS2126	SB	SB	within SB	0.12833743755385452
22	weighted	CTCN	8tp	AS2127	AS2128	SB	TY	among sites	0.1933153573622542
23	weighted	CTCN	8tp	AS2127	AS2124	SB	TY	among sites	0.1541340766131349
24	weighted	CTCN	8tp	AS2125	AS2123	TY	SB	among sites	0.21861306946488496
25	weighted	CTCN	8tp	AS2125	AS2129	TY	TY	within TY	0.17941955920654878
26	weighted	CTCN	8tp	AS2125	AS2130	TY	SB	among sites	0.1504076510169382
27	weighted	CTCN	8tp	AS2125	AS2126	TY	SB	among sites	0.0961349662136802
28	weighted	CTCN	8tp	AS2125	AS2128	TY	TY	within TY	0.19980366452375647
29	weighted	CTCN	8tp	AS2125	AS2124	TY	TY	within TY	0.17604725160649465
30	weighted	CTCN	8tp	AS2123	AS2129	SB	TY	among sites	0.2027600020389352
31	weighted	CTCN	8tp	AS2123	AS2130	SB	SB	within SB	0.2108747671794995
32	weighted	CTCN	8tp	AS2123	AS2126	SB	SB	within SB	0.21937181284446167
33	weighted	CTCN	8tp	AS2123	AS2128	SB	TY	among sites	0.2898752170528167
34	weighted	CTCN	8tp	AS2123	AS2124	SB	TY	among sites	0.14222079265444898
35	weighted	CTCN	8tp	AS2129	AS2130	TY	SB	among sites	0.14973308987439918
36	weighted	CTCN	8tp	AS2129	AS2126	TY	SB	among sites	0.1918805014506582
37	weighted	CTCN	8tp	AS2129	AS2128	TY	TY	within TY	0.2620657644581558
38	weighted	CTCN	8tp	AS2129	AS2124	TY	TY	within TY	0.14292618287882367
39	weighted	CTCN	8tp	AS2130	AS2126	SB	SB	within SB	0.1583156922729947
40	weighted	CTCN	8tp	AS2130	AS2128	SB	TY	among sites	0.19413873149732214
41	weighted	CTCN	8tp	AS2130	AS2124	SB	TY	among sites	0.15119700867013153
42	weighted	CTCN	8tp	AS2126	AS2128	SB	TY	among sites	0.1629904337586454
43	weighted	CTCN	8tp	AS2126	AS2124	SB	TY	among sites	0.17920041784004273
44	weighted	CTCN	8tp	AS2128	AS2124	TY	TY	within TY	0.24655055730661105
45	weighted	CTN	8tp	AS2132	AS2131	TY	SB	among sites	0.2262404401969927
46	weighted	CTN	8tp	AS2132	AS2133	TY	TY	within TY	0.22150448569562148
47	weighted	CTN	8tp	AS2132	AS2138	TY	SB	among sites	0.2590123500501423
48	weighted	CTN	8tp	AS2132	AS2135	TY	SB	among sites	0.2293996189990388
49	weighted	CTN	8tp	AS2132	AS2136	TY	TY	within TY	0.2414289401361709
50	weighted	CTN	8tp	AS2132	AS2134	TY	SB	among sites	0.2287071622206457
51	weighted	CTN	8tp	AS2132	AS2140	TY	TY	within TY	0.225032502031601
52	weighted	CTN	8tp	AS2132	AS2139	TY	SB	among sites	0.25412400180658257
53	weighted	CTN	8tp	AS2132	AS2137	TY	TY	within TY	0.26730970742768984
54	weighted	CTN	8tp	AS2131	AS2133	SB	TY	among sites	0.11701018187393618
55	weighted	CTN	8tp	AS2131	AS2138	SB	SB	within SB	0.16648169475717894
56	weighted	CTN	8tp	AS2131	AS2135	SB	SB	within SB	0.1242403427939424
57	weighted	CTN	8tp	AS2131	AS2136	SB	TY	among sites	0.1582016273386779
58	weighted	CTN	8tp	AS2131	AS2134	SB	SB	within SB	0.10415492034156387
59	weighted	CTN	8tp	AS2131	AS2140	SB	TY	among sites	0.14638413308476805
60	weighted	CTN	8tp	AS2131	AS2139	SB	SB	within SB	0.12454056633353601
61	weighted	CTN	8tp	AS2131	AS2137	SB	TY	among sites	0.17946292351005294
62	weighted	CTN	8tp	AS2133	AS2138	TY	SB	among sites	0.1632566753196313
63	weighted	CTN	8tp	AS2133	AS2135	TY	SB	among sites	0.1638741680869425
64	weighted	CTN	8tp	AS2133	AS2136	TY	TY	within TY	0.16520321012081704
65	weighted	CTN	8tp	AS2133	AS2134	TY	SB	among sites	0.06262157688735116
66	weighted	CTN	8tp	AS2133	AS2140	TY	TY	within TY	0.1635336656926799
67	weighted	CTN	8tp	AS2133	AS2139	TY	SB	among sites	0.14888208434988445
68	weighted	CTN	8tp	AS2133	AS2137	TY	TY	within TY	0.1591003517636154
69	weighted	CTN	8tp	AS2138	AS2135	SB	SB	within SB	0.127234819674032
70	weighted	CTN	8tp	AS2138	AS2136	SB	TY	among sites	0.18370970298630387
71	weighted	CTN	8tp	AS2138	AS2134	SB	SB	within SB	0.15070376359770848
72	weighted	CTN	8tp	AS2138	AS2140	SB	TY	among sites	0.1906397863098115
73	weighted	CTN	8tp	AS2138	AS2139	SB	SB	within SB	0.1806741402311813
74	weighted	CTN	8tp	AS2138	AS2137	SB	TY	among sites	0.12161573216184025
75	weighted	CTN	8tp	AS2135	AS2136	SB	TY	among sites	0.1768417566147644
76	weighted	CTN	8tp	AS2135	AS2134	SB	SB	within SB	0.14834785527454286
77	weighted	CTN	8tp	AS2135	AS2140	SB	TY	among sites	0.1569453579214088
78	weighted	CTN	8tp	AS2135	AS2139	SB	SB	within SB	0.14467024006363205
79	weighted	CTN	8tp	AS2135	AS2137	SB	TY	among sites	0.17509000262122576
80	weighted	CTN	8tp	AS2136	AS2134	TY	SB	among sites	0.16048527662186196
81	weighted	CTN	8tp	AS2136	AS2140	TY	TY	within TY	0.15869403381099306
82	weighted	CTN	8tp	AS2136	AS2139	TY	SB	among sites	0.1678188593140828
83	weighted	CTN	8tp	AS2136	AS2137	TY	TY	within TY	0.1811091531895034
84	weighted	CTN	8tp	AS2134	AS2140	SB	TY	among sites	0.15836368188157254
85	weighted	CTN	8tp	AS2134	AS2139	SB	SB	within SB	0.14411878208397366
86	weighted	CTN	8tp	AS2134	AS2137	SB	TY	among sites	0.1512611203263674
87	weighted	CTN	8tp	AS2140	AS2139	TY	SB	among sites	0.0889149993730045
88	weighted	CTN	8tp	AS2140	AS2137	TY	TY	within TY	0.18500820377693966
89	weighted	CTN	8tp	AS2139	AS2137	SB	TY	among sites	0.18390339503720032
90	weighted	TCN	8tp	AS2148	AS2144	TY	TY	within TY	0.17811721825226673
91	weighted	TCN	8tp	AS2148	AS2149	TY	TY	within TY	0.15394917927899834
92	weighted	TCN	8tp	AS2148	AS2146	TY	SB	among sites	0.16573784332242153
93	weighted	TCN	8tp	AS2148	AS2143	TY	SB	among sites	0.19377421928572688
94	weighted	TCN	8tp	AS2148	AS2145	TY	TY	within TY	0.19159474652007846
95	weighted	TCN	8tp	AS2148	AS2150	TY	SB	among sites	0.1617407361999662
96	weighted	TCN	8tp	AS2148	AS2147	TY	SB	among sites	0.1395571673839034
97	weighted	TCN	8tp	AS2144	AS2149	TY	TY	within TY	0.17864623808838287
98	weighted	TCN	8tp	AS2144	AS2146	TY	SB	among sites	0.18743202496241732
99	weighted	TCN	8tp	AS2144	AS2143	TY	SB	among sites	0.12435791752232975
100	weighted	TCN	8tp	AS2144	AS2145	TY	TY	within TY	0.18627569514236766
101	weighted	TCN	8tp	AS2144	AS2150	TY	SB	among sites	0.19041783792502184
102	weighted	TCN	8tp	AS2144	AS2147	TY	SB	among sites	0.16693150052486067
103	weighted	TCN	8tp	AS2149	AS2146	TY	SB	among sites	0.16715270242206565
104	weighted	TCN	8tp	AS2149	AS2143	TY	SB	among sites	0.20527454214786536
105	weighted	TCN	8tp	AS2149	AS2145	TY	TY	within TY	0.1967493123126152
106	weighted	TCN	8tp	AS2149	AS2150	TY	SB	among sites	0.08852561588928595
107	weighted	TCN	8tp	AS2149	AS2147	TY	SB	among sites	0.1351346380138619
108	weighted	TCN	8tp	AS2146	AS2143	SB	SB	within SB	0.2271858350082961
109	weighted	TCN	8tp	AS2146	AS2145	SB	TY	among sites	0.15692797997884514
110	weighted	TCN	8tp	AS2146	AS2150	SB	SB	within SB	0.1804270665369598
111	weighted	TCN	8tp	AS2146	AS2147	SB	SB	within SB	0.1669642081398722
112	weighted	TCN	8tp	AS2143	AS2145	SB	TY	among sites	0.17106336871671082
