sample-id	faith_pd	Treatment	SourceSite	TP	t
AS2001	30.893173504311815	CTCN	TY	0tp	0
AS2002	32.24985653644845	CTCN	SB	0tp	0
AS2003	28.326512605865727	CTCN	SB	0tp	0
AS2005	33.873192123384406	CTCN	TY	0tp	0
AS2006	31.48362706929471	CTCN	SB	0tp	0
AS2007	32.75333825714172	CTCN	SB	0tp	0
AS2008	34.476569306068356	CTCN	TY	0tp	0
AS2009	30.83814700993053	CTCN	TY	0tp	0
AS2010	34.43061227642219	CTCN	SB	0tp	0
AS2011	32.72140806843313	CTN	SB	0tp	0
AS2012	32.856862272715105	CTN	TY	0tp	0
AS2013	35.10330179075986	CTN	TY	0tp	0
AS2014	31.19302951881669	CTN	SB	0tp	0
AS2015	32.473164013953216	CTN	SB	0tp	0
AS2016	31.986888170071754	CTN	TY	0tp	0
AS2017	32.63334575633112	CTN	TY	0tp	0
AS2018	33.71410129530193	CTN	SB	0tp	0
AS2019	28.34141212309373	CTN	SB	0tp	0
AS2020	31.495345161840767	CTN	TY	0tp	0
AS2023	29.624964634484712	TCN	SB	0tp	0
AS2024	34.98233642958597	TCN	TY	0tp	0
AS2025	31.546337151203204	TCN	TY	0tp	0
AS2026	25.402743376911868	TCN	SB	0tp	0
AS2027	28.33531724251089	TCN	SB	0tp	0
AS2028	34.350117760684775	TCN	TY	0tp	0
AS2029	29.99322431433102	TCN	TY	0tp	0
AS2030	31.05726238160635	TCN	SB	0tp	0
AS2033	35.52997839786883	TN	TY	0tp	0
AS2034	32.78501419222318	TN	SB	0tp	0
AS2035	31.179416704055253	TN	SB	0tp	0
AS2036	32.02005649179732	TN	TY	0tp	0
AS2037	35.92954016118009	TN	TY	0tp	0
AS2038	28.17308853627932	TN	SB	0tp	0
AS2039	31.71480713135859	TN	SB	0tp	0
AS2040	32.27087703068238	TN	TY	0tp	0
AS2041	31.68003328030888	CTCN	TY	3tp	1
AS2042	27.779022571552392	CTCN	SB	3tp	1
AS2043	32.85580854833928	CTCN	SB	3tp	1
AS2044	31.34243136219559	CTCN	TY	3tp	1
AS2045	29.0302876914537	CTCN	TY	3tp	1
AS2046	28.230270223723014	CTCN	SB	3tp	1
AS2047	32.055960941018725	CTCN	SB	3tp	1
AS2048	32.10981611757101	CTCN	TY	3tp	1
AS2049	31.64704829820436	CTCN	TY	3tp	1
AS2050	31.516564647051677	CTCN	SB	3tp	1
AS2051	40.569927875253896	CTN	SB	3tp	1
AS2052	33.72977793778117	CTN	TY	3tp	1
AS2053	29.595864021282214	CTN	TY	3tp	1
AS2054	33.32382891110919	CTN	SB	3tp	1
AS2056	27.034621396100448	CTN	TY	3tp	1
AS2057	31.297219438398233	CTN	TY	3tp	1
AS2058	31.11774226968536	CTN	SB	3tp	1
AS2059	30.022452446707312	CTN	SB	3tp	1
AS2060	27.8769639638202	CTN	TY	3tp	1
AS2063	31.210471344504462	TCN	SB	3tp	1
AS2064	29.7616421160012	TCN	TY	3tp	1
AS2065	29.287182852349176	TCN	TY	3tp	1
AS2066	28.68042812853264	TCN	SB	3tp	1
AS2067	29.279123682123657	TCN	SB	3tp	1
AS2068	29.527747404761424	TCN	TY	3tp	1
AS2069	32.76921154954367	TCN	TY	3tp	1
AS2070	32.66184650911349	TCN	SB	3tp	1
AS2073	31.6152304094946	TN	TY	3tp	1
AS2074	30.89072164801301	TN	SB	3tp	1
AS2075	28.13518805236295	TN	SB	3tp	1
AS2076	33.23703688644385	TN	TY	3tp	1
AS2077	29.748648928622647	TN	TY	3tp	1
