sample-id	faith_pd	Fraction	Treatment	SourceSite	TP
AS2001	37.36974494936449	epiphyte	CTCN	TY	0tp
AS2002	37.89436574932086	epiphyte	CTCN	SB	0tp
AS2003	37.14238383655247	epiphyte	CTCN	SB	0tp
AS2004	28.347577861482574	epiphyte	CTCN	TY	0tp
AS2005	38.6682919041611	epiphyte	CTCN	TY	0tp
AS2006	39.6682254538298	epiphyte	CTCN	SB	0tp
AS2007	40.7274382502213	epiphyte	CTCN	SB	0tp
AS2008	43.57573097078432	epiphyte	CTCN	TY	0tp
AS2009	38.018115976497256	epiphyte	CTCN	TY	0tp
AS2010	41.160882897470934	epiphyte	CTCN	SB	0tp
AS2011	37.88381052428959	epiphyte	CTN	SB	0tp
AS2012	38.966309613139565	epiphyte	CTN	TY	0tp
AS2013	41.003779921910144	epiphyte	CTN	TY	0tp
AS2014	37.45319266971008	epiphyte	CTN	SB	0tp
AS2015	40.283682758995816	epiphyte	CTN	SB	0tp
AS2016	40.451823145387294	epiphyte	CTN	TY	0tp
AS2017	39.91247641274265	epiphyte	CTN	TY	0tp
AS2018	41.57780962427383	epiphyte	CTN	SB	0tp
AS2019	34.534463507937964	epiphyte	CTN	SB	0tp
AS2020	35.89664887645399	epiphyte	CTN	TY	0tp
AS2023	36.10328705602081	epiphyte	TCN	SB	0tp
AS2024	43.065515614952325	epiphyte	TCN	TY	0tp
AS2025	39.865487165711386	epiphyte	TCN	TY	0tp
AS2026	33.09130587968532	epiphyte	TCN	SB	0tp
AS2027	36.12517864520146	epiphyte	TCN	SB	0tp
AS2028	39.7484228701478	epiphyte	TCN	TY	0tp
AS2029	36.101464282323306	epiphyte	TCN	TY	0tp
AS2030	38.16467036473981	epiphyte	TCN	SB	0tp
AS2033	42.64127057759792	epiphyte	TN	TY	0tp
AS2034	38.70097603152684	epiphyte	TN	SB	0tp
AS2035	37.90812201678085	epiphyte	TN	SB	0tp
AS2036	39.18954973198729	epiphyte	TN	TY	0tp
AS2037	44.01813858414543	epiphyte	TN	TY	0tp
AS2038	34.572620414250366	epiphyte	TN	SB	0tp
AS2039	38.6622903144531	epiphyte	TN	SB	0tp
AS2040	39.77347009356128	epiphyte	TN	TY	0tp
AS2041	37.57531864449596	epiphyte	CTCN	TY	3tp
AS2042	34.76835216978187	epiphyte	CTCN	SB	3tp
AS2043	42.22504228500181	epiphyte	CTCN	SB	3tp
AS2044	41.64326661078452	epiphyte	CTCN	TY	3tp
AS2045	38.56615902438149	epiphyte	CTCN	TY	3tp
AS2046	37.15788373540463	epiphyte	CTCN	SB	3tp
AS2047	42.38192320071481	epiphyte	CTCN	SB	3tp
AS2048	40.05759267247365	epiphyte	CTCN	TY	3tp
AS2049	39.416987109828845	epiphyte	CTCN	TY	3tp
AS2050	39.94684745253935	epiphyte	CTCN	SB	3tp
AS2051	51.079526237825526	epiphyte	CTN	SB	3tp
AS2052	42.320115027880284	epiphyte	CTN	TY	3tp
AS2053	39.75902797402142	epiphyte	CTN	TY	3tp
AS2054	41.93339634072749	epiphyte	CTN	SB	3tp
AS2056	35.335072572005245	epiphyte	CTN	TY	3tp
AS2057	42.27418168087138	epiphyte	CTN	TY	3tp
AS2058	38.75602931687358	epiphyte	CTN	SB	3tp
AS2059	35.916630529380605	epiphyte	CTN	SB	3tp
AS2060	34.82229756333284	epiphyte	CTN	TY	3tp
AS2063	38.54330934408469	epiphyte	TCN	SB	3tp
AS2064	38.50311828628503	epiphyte	TCN	TY	3tp
AS2065	33.980187945056855	epiphyte	TCN	TY	3tp
AS2066	36.02126232248563	epiphyte	TCN	SB	3tp
AS2067	36.76093951055389	epiphyte	TCN	SB	3tp
AS2068	35.14405514979998	epiphyte	TCN	TY	3tp
AS2069	39.34472016257115	epiphyte	TCN	TY	3tp
AS2070	41.67079808351138	epiphyte	TCN	SB	3tp
AS2073	38.8431342291711	epiphyte	TN	TY	3tp
AS2074	39.369285030129056	epiphyte	TN	SB	3tp
AS2075	34.50271903227521	epiphyte	TN	SB	3tp
AS2076	39.89243377408688	epiphyte	TN	TY	3tp
AS2077	37.97033674942524	epiphyte	TN	TY	3tp
