sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
Tank-3B	Tank-3B	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 3.0, biological replicate 1 original ID Tank-3B	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-3B_S106_L001_R1_001.fastq.gz	Tank-3B_S106_L001_R2_001.fastq.gz
Tank-7C	Tank-7C	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 5.0, biological replicate 1 original ID Tank-7C	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-7C_S115_L001_R1_001.fastq.gz	Tank-7C_S115_L001_R2_001.fastq.gz
Tank-8C	Tank-8C	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 5.0, biological replicate 2 original ID Tank-8C	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-8C_S116_L001_R1_001.fastq.gz	Tank-8C_S116_L001_R2_001.fastq.gz
Tank-2B	Tank-2B	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 3.0, biological replicate 2 original ID Tank-2B	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-2B_S105_L001_R1_001.fastq.gz	Tank-2B_S105_L001_R2_001.fastq.gz
Tank-8A	Tank-8A	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTN, time point 0.0, biological replicate 1 original ID Tank-8A	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-8A_S100_L001_R1_001.fastq.gz	Tank-8A_S100_L001_R2_001.fastq.gz
Tank-17B	Tank-17B	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 3.0, biological replicate 1 original ID Tank-17B	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-17B_S112_L001_R1_001.fastq.gz	Tank-17B_S112_L001_R2_001.fastq.gz
Tank-3D	Tank-3D	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 8.0, biological replicate 1 original ID Tank-3D	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-3D_S122_L001_R1_001.fastq.gz	Tank-3D_S122_L001_R2_001.fastq.gz
Tank-2A	Tank-2A	Water metagenome from a Halophila stipulacea mesocosm. Treatment CTCN, time point 0.0, biological replicate 1 original ID Tank-2A	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-2A_S97_L001_R1_001.fastq.gz	Tank-2A_S97_L001_R2_001.fastq.gz
Tank-16D	Tank-16D	Water metagenome from a Halophila stipulacea mesocosm. Treatment TN, time point 8.0, biological replicate 1 original ID Tank-16D	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-16D_S127_L001_R1_001.fastq.gz	Tank-16D_S127_L001_R2_001.fastq.gz
Tank-13D	Tank-13D	Water metagenome from a Halophila stipulacea mesocosm. Treatment TCN, time point 8.0, biological replicate 1 original ID Tank-13D	AMPLICON	GENOMIC	PCR	paired	ILLUMINA	Illumina iSeq 100	Single barcode, two-step PCR, V4 fragment	fastq	Tank-13D_S126_L001_R1_001.fastq.gz	Tank-13D_S126_L001_R2_001.fastq.gz
