Time period	Bath	NH4	CI	Group
T0	1	1.36	0.98	Low
T0	2	1.08	0.73	Low
T0	3	0.93	0.78	Low
T0	4	1.62	1.5	Low
T1	1	0.73	0.36	ignore
T1	2	0.78	0.87	ignore
T1	3	1.08	0.43	ignore
T1	4	0.9	0.66	ignore
T2	1	1.11	0.5	ignore
T2	2	2.39	2.13	ignore
T2	3	1.02	0.68	ignore
T2	4	2.27	2.05	ignore
T3	1	1.01	0.2	Low
T3	2	2.99	0.76	High
T3	3	1.46	0.51	Low
T3	4	1.85	0.99	Low
T4	1	0.91	0.42	ignore
T4	2	1.43	0.77	ignore
T4	3	0.73	0.25	ignore
T4	4	1.03	0.51	ignore
T5	1	1.41	0.91	Low
T5	2	1.38	0.9	High
T5	3	1.04	0.61	Low
T5	4	1.99	0.63	Low
T6	1	2.27	1.15	ignore
T6	2	1.98	1.56	ignore
T6	3	2.06	0.73	ignore
T6	4	5.21	0.95	ignore
T7	1	5.21	2.65	ignore
T7	2	6.04	2.35	ignore
T7	3	5.16	3.03	ignore
T7	4	7.01	2.31	ignore
T8	1	3.21	0.62	High
T8	2	4.4	0.41	High
T8	3	3.71	1.58	High
T8	4	3.75	0.87	High
