Time period	Bath	NO3	CI
T0	1	0.7	0.06
T0	2	0.19	0.004
T0	3	0.64	0.52
T0	4	0.43	0.14
T1	1	0.523008389638266	0.516096687033149
T1	2	1.0967476492424	0.100536968929539
T1	3	0.593153341198549	0.034802042144877
T1	4	1.17957047742646	0.202342857020578
T2	1	0.377351785901252	0.168662532130103
T2	2	1.53863049168845	0.122280178207518
T2	3	0.367084820103872	0.02131778687416
T2	4	1.4303402301436	0.288850511724261
T3	1	0.757757323667271	0.302925207761733
T3	2	1.46814464452671	0.502251869562378
T3	3	0.793889154044063	0.207325817550312
T3	4	1.32752441776686	0.452222013514741
T4	1	0.522922590631581	0.208471191498181
T4	2	0.982229501609283	0.081320478675179
T4	3	0.466127563783905	0.611182288826908
T4	4	1.19292565293129	0.196725805742134
T5	1	0.522314330750731	0.087819886458647
T5	2	0.952808590426031	0.027707425342367
T5	3	1.03442318695386	0.014052698905414
T5	4	2.49756660916717	0.131486198646765
T6	1	1.10477290065828	0.250942455987851
T6	2	2.08763993086604	0.368199318181465
T6	3	1.02189722949438	0.056334446630088
T6	4	1.67577644766075	0.842536907582081
T7	1	0.823538159347883	0.207874902242079
T7	2	1.84898489978896	0.135916860114126
T7	3	1.17108521885202	0.023416628460231
T7	4	1.94282130051487	0.612816442286183
T8	1	0.392223284813665	0.088440639405441
T8	2	1.15429134236217	0.164862668593693
T8	3	0.207107692735465	0.086267583785176
T8	4	0.447394291417041	0.069444313179059
