asv	Core	Phylum	Class	Order
1cb61e2119df5aee697c66ca02360390	SB	Bacteroidota	Bacteroidia	Cytophagales
7b88f3eb8d1c0317193521d99fcabe5c	TY	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis
708c54953c633dfe623657342268bcb7	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
add999122569a0720c21a39a5a5de4b8	All	Proteobacteria	Alphaproteobacteria	Rhizobiales
6319b6de3fdd90eea2baa182b4032791	TY	Proteobacteria	Alphaproteobacteria	Rickettsiales
9731accd028e3f94a092b5acd903b142	All	Proteobacteria	Gammaproteobacteria	Cellvibrionales
2a3fcd0a3302b2b0810ee60455f66ddc	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
e2c9c53ec8fc50bbd6a896a8d5d098df	All	Proteobacteria	Alphaproteobacteria	Rhodospirillales
81c19a916baa4c820ad88b003f1a776c	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
a30c8d101e30b01925fd1929ff01243e	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
022579dba78bfa12ae6fd64d8eecb2c6	All	Planctomycetota	Pla3_lineage	Pla3_lineage
d0b4e3317347d6f6afa5c0afa8f28c50	TY	Myxococcota	Myxococcia	Myxococcales
c2e23a5cac51661cb1189283260114e4	SB	Proteobacteria	Alphaproteobacteria	Micavibrionales
e52a6be3671c2eeca20839e5e7d679e6	All	Proteobacteria	Alphaproteobacteria	Caulobacterales
1e69c14d82a77aa0b3aeab5f1f6d6bb3	TY	Proteobacteria	Gammaproteobacteria	Cellvibrionales
0a39a764a48c1ed365b8f0e7945805d8	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
5a4c06616de48c5e4f2b00aa3416d02d	All	Proteobacteria	Gammaproteobacteria	Alteromonadales
7c01ba68f78c4b4a2c7ae33b48366097	TY	Bacteroidota	Bacteroidia	Cytophagales
448114d9c2bade46b293a87017798e2c	TY	Proteobacteria	Alphaproteobacteria	Rhodobacterales
ee5ce94af849f2ecc6903cdf90e264b0	All	Proteobacteria	Alphaproteobacteria	Rhizobiales
5aa4bafa24331801c0e1ca934b7f441c	SB	Proteobacteria	Alphaproteobacteria	Rhodobacterales
e8828b7a509e0d56b5e01fedd0ac83fe	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
e442f85fd679b084918a6b547710d80b	All	Bacteroidota	Bacteroidia	Chitinophagales
857f2f10faa3b55975fd36250fe2a255	All	Proteobacteria	Gammaproteobacteria	SZB50
1b3f5e020a7002e1f434633a6f4aa29a	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
f134d6408a71d4513fca6e9d12a62382	All	Proteobacteria	Alphaproteobacteria	Rhodobacterales
