#SampleID	T	Date	Bath	Tank	SourceSite	Extract	Temp	Nutrients	Fraction	BathName	TP	TP_Bath	TP_Bath_Site	Bath_Site	Partition	Treatment	SiteNumeric
AS2122	8tp	10-Oct-2019	1	1	SB	V	27	FALSE	epiphyte	A	8	8_A	8_A_SB	A_SB	1S	CTCN	0
AS2121	8tp	10-Oct-2019	1	1	TY	V	27	FALSE	epiphyte	A	8	8_A	8_A_TY	A_TY	1T	CTCN	1
AS2082	5tp	19-Sep-2019	1	1	SB	V	27	FALSE	epiphyte	A	5	5_A	5_A_SB	A_SB	1S	CTCN	0
AS2081	5tp	19-Sep-2019	1	1	TY	V	27	FALSE	epiphyte	A	5	5_A	5_A_TY	A_TY	1T	CTCN	1
AS2042	3tp	08-Sep-2019	1	1	SB	V	27	FALSE	epiphyte	A	3	3_A	3_A_SB	A_SB	1S	CTCN	0
AS2041	3tp	08-Sep-2019	1	1	TY	V	27	FALSE	epiphyte	A	3	3_A	3_A_TY	A_TY	1T	CTCN	1
AS2002	0tp	15-Aug-2019	1	1	SB	V	27	FALSE	epiphyte	A	0	0_A	0_A_SB	A_SB	1S	CTCN	0
AS2001	0tp	15-Aug-2019	1	1	TY	V	27	FALSE	epiphyte	A	0	0_A	0_A_TY	A_TY	1T	CTCN	1
AS2005	0tp	15-Aug-2019	1	3	TY	V	27	FALSE	epiphyte	A	0	0_A	0_A_TY	A_TY	3T	CTCN	1
AS2007	0tp	15-Aug-2019	1	4	SB	V	27	FALSE	epiphyte	A	0	0_A	0_A_SB	A_SB	4S	CTCN	0
AS2003	0tp	15-Aug-2019	1	2	SB	V	27	FALSE	epiphyte	A	0	0_A	0_A_SB	A_SB	2S	CTCN	0
AS2008	0tp	15-Aug-2019	1	4	TY	V	27	FALSE	epiphyte	A	0	0_A	0_A_TY	A_TY	4T	CTCN	1
AS2010	0tp	15-Aug-2019	1	5	SB	V	27	FALSE	epiphyte	A	0	0_A	0_A_SB	A_SB	5S	CTCN	0
AS2006	0tp	15-Aug-2019	1	3	SB	V	27	FALSE	epiphyte	A	0	0_A	0_A_SB	A_SB	3S	CTCN	0
AS2004	0tp	15-Aug-2019	1	2	TY	V	27	FALSE	epiphyte	A	0	0_A	0_A_TY	A_TY	2T	CTCN	1
AS2009	0tp	15-Aug-2019	1	5	TY	V	27	FALSE	epiphyte	A	0	0_A	0_A_TY	A_TY	5T	CTCN	1
AS2043	3tp	08-Sep-2019	1	2	SB	V	27	FALSE	epiphyte	A	3	3_A	3_A_SB	A_SB	2S	CTCN	0
AS2045	3tp	08-Sep-2019	1	3	TY	V	27	FALSE	epiphyte	A	3	3_A	3_A_TY	A_TY	3T	CTCN	1
AS2049	3tp	08-Sep-2019	1	5	TY	V	27	FALSE	epiphyte	A	3	3_A	3_A_TY	A_TY	5T	CTCN	1
AS2050	3tp	08-Sep-2019	1	5	SB	V	27	FALSE	epiphyte	A	3	3_A	3_A_SB	A_SB	5S	CTCN	0
AS2047	3tp	08-Sep-2019	1	4	SB	V	27	FALSE	epiphyte	A	3	3_A	3_A_SB	A_SB	4S	CTCN	0
AS2046	3tp	08-Sep-2019	1	3	SB	V	27	FALSE	epiphyte	A	3	3_A	3_A_SB	A_SB	3S	CTCN	0
AS2048	3tp	08-Sep-2019	1	4	TY	V	27	FALSE	epiphyte	A	3	3_A	3_A_TY	A_TY	4T	CTCN	1
AS2044	3tp	08-Sep-2019	1	2	TY	V	27	FALSE	epiphyte	A	3	3_A	3_A_TY	A_TY	2T	CTCN	1
AS2087	5tp	19-Sep-2019	1	4	SB	V	27	FALSE	epiphyte	A	5	5_A	5_A_SB	A_SB	4S	CTCN	0
AS2083	5tp	19-Sep-2019	1	2	SB	V	27	FALSE	epiphyte	A	5	5_A	5_A_SB	A_SB	2S	CTCN	0
AS2084	5tp	19-Sep-2019	1	2	TY	V	27	FALSE	epiphyte	A	5	5_A	5_A_TY	A_TY	2T	CTCN	1
AS2085	5tp	19-Sep-2019	1	3	TY	V	27	FALSE	epiphyte	A	5	5_A	5_A_TY	A_TY	3T	CTCN	1
AS2089	5tp	19-Sep-2019	1	5	TY	V	27	FALSE	epiphyte	A	5	5_A	5_A_TY	A_TY	5T	CTCN	1
AS2086	5tp	19-Sep-2019	1	3	SB	V	27	FALSE	epiphyte	A	5	5_A	5_A_SB	A_SB	3S	CTCN	0
AS2088	5tp	19-Sep-2019	1	4	TY	V	27	FALSE	epiphyte	A	5	5_A	5_A_TY	A_TY	4T	CTCN	1
AS2127	8tp	10-Oct-2019	1	4	SB	V	27	FALSE	epiphyte	A	8	8_A	8_A_SB	A_SB	4S	CTCN	0
AS2125	8tp	10-Oct-2019	1	3	TY	V	27	FALSE	epiphyte	A	8	8_A	8_A_TY	A_TY	3T	CTCN	1
