"POPULATION"	"TREATMENT"	"TIME"	"NUMBS"
"TY"	"CTCN"	0	
"TY"	"CTCN"	1	0.07
"TY"	"CTCN"	2	0.17
"TY"	"CTCN"	3	0.13
"TY"	"CTCN"	4	0.17
"TY"	"CTCN"	5	0.17
"TY"	"CTCN"	6	0.13
"TY"	"CTCN"	7	0.21
"TY"	"CTCN"	8	0.06
"TY"	"CTCN"	0	
"TY"	"CTCN"	1	0.14
"TY"	"CTCN"	2	0.33
"TY"	"CTCN"	3	0.13
"TY"	"CTCN"	4	0
"TY"	"CTCN"	5	0.25
"TY"	"CTCN"	6	0.13
"TY"	"CTCN"	7	0.14
"TY"	"CTCN"	8	0.19
"TY"	"CTCN"	0	
"TY"	"CTCN"	1	0.14
"TY"	"CTCN"	2	0.33
"TY"	"CTCN"	3	0.13
"TY"	"CTCN"	4	0.5
"TY"	"CTCN"	5	0.25
"TY"	"CTCN"	6	0.25
"TY"	"CTCN"	7	0.07
"TY"	"CTCN"	8	0.25
"TY"	"CTCN"	0	
"TY"	"CTCN"	1	0.14
"TY"	"CTCN"	2	0.08
"TY"	"CTCN"	3	0.19
"TY"	"CTCN"	4	0.33
"TY"	"CTCN"	5	0.17
"TY"	"CTCN"	6	0.06
"TY"	"CTCN"	7	0.14
"TY"	"CTCN"	8	0.19
"TY"	"CTCN"	0	
"TY"	"CTCN"	1	0.14
"TY"	"CTCN"	2	0.17
"TY"	"CTCN"	3	0.06
"TY"	"CTCN"	4	0.25
"TY"	"CTCN"	5	0.08
"TY"	"CTCN"	6	0
"TY"	"CTCN"	7	0.29
"TY"	"CTCN"	8	0.19
"SB"	"CTCN"	0	
"SB"	"CTCN"	1	0.14
"SB"	"CTCN"	2	0
"SB"	"CTCN"	3	0.17
"SB"	"CTCN"	4	0.31
"SB"	"CTCN"	5	0.25
"SB"	"CTCN"	6	0
"SB"	"CTCN"	7	0.25
"SB"	"CTCN"	8	0.14
"SB"	"CTCN"	0	
"SB"	"CTCN"	1	0.07
"SB"	"CTCN"	2	0.07
"SB"	"CTCN"	3	0.25
"SB"	"CTCN"	4	0.13
"SB"	"CTCN"	5	0.17
"SB"	"CTCN"	6	0.17
"SB"	"CTCN"	7	0.31
"SB"	"CTCN"	8	0.14
"SB"	"CTCN"	0	
"SB"	"CTCN"	1	0.14
"SB"	"CTCN"	2	0.07
"SB"	"CTCN"	3	0
"SB"	"CTCN"	4	0.13
"SB"	"CTCN"	5	0.17
"SB"	"CTCN"	6	0.17
"SB"	"CTCN"	7	0
"SB"	"CTCN"	8	0.21
"SB"	"CTCN"	0	
"SB"	"CTCN"	1	0.14
"SB"	"CTCN"	2	0.07
"SB"	"CTCN"	3	0.08
"SB"	"CTCN"	4	0.13
"SB"	"CTCN"	5	0.17
"SB"	"CTCN"	6	0.08
"SB"	"CTCN"	7	0.13
"SB"	"CTCN"	8	0.07
"SB"	"CTCN"	0	
"SB"	"CTCN"	1	0.14
"SB"	"CTCN"	2	0.07
"SB"	"CTCN"	3	0
"SB"	"CTCN"	4	0.25
"SB"	"CTCN"	5	0.17
"SB"	"CTCN"	6	0
"SB"	"CTCN"	7	0.06
"SB"	"CTCN"	8	0.14
"TY"	"CTN"	0	
"TY"	"CTN"	1	0.14
"TY"	"CTN"	2	0.29
"TY"	"CTN"	3	0.25
"TY"	"CTN"	4	0.19
"TY"	"CTN"	5	0.25
"TY"	"CTN"	6	0
"TY"	"CTN"	7	0.13
"TY"	"CTN"	8	0.21
"TY"	"CTN"	0	
"TY"	"CTN"	1	0.14
"TY"	"CTN"	2	0.21
"TY"	"CTN"	3	0.08
"TY"	"CTN"	4	0.13
"TY"	"CTN"	5	0.08
"TY"	"CTN"	6	0.17
"TY"	"CTN"	7	0.06
"TY"	"CTN"	8	0
"TY"	"CTN"	0	
"TY"	"CTN"	1	0.14
"TY"	"CTN"	2	0.07
"TY"	"CTN"	3	0.08
"TY"	"CTN"	4	0.13
"TY"	"CTN"	5	0.08
"TY"	"CTN"	6	0.08
"TY"	"CTN"	7	0.13
"TY"	"CTN"	8	0.07
"TY"	"CTN"	0	
"TY"	"CTN"	1	0.14
"TY"	"CTN"	2	0.29
"TY"	"CTN"	3	0
"TY"	"CTN"	4	0
"TY"	"CTN"	5	0.17
"TY"	"CTN"	6	0.17
"TY"	"CTN"	7	0.13
"TY"	"CTN"	8	0
"TY"	"CTN"	0	
"TY"	"CTN"	1	0.14
"TY"	"CTN"	2	0.36
"TY"	"CTN"	3	0.25
"TY"	"CTN"	4	0.31
"TY"	"CTN"	5	0.08
"TY"	"CTN"	6	0
"TY"	"CTN"	7	0
"TY"	"CTN"	8	0.14
"SB"	"CTN"	0	
"SB"	"CTN"	1	0.14
"SB"	"CTN"	2	0.21
"SB"	"CTN"	3	0
"SB"	"CTN"	4	0.06
"SB"	"CTN"	5	0.08
"SB"	"CTN"	6	0
"SB"	"CTN"	7	0.13
"SB"	"CTN"	8	0
"SB"	"CTN"	0	
"SB"	"CTN"	1	0.14
"SB"	"CTN"	2	0.07
"SB"	"CTN"	3	0.17
"SB"	"CTN"	4	0.06
"SB"	"CTN"	5	0.08
"SB"	"CTN"	6	0.17
"SB"	"CTN"	7	0
"SB"	"CTN"	8	0.07
"SB"	"CTN"	0	
"SB"	"CTN"	1	0.21
"SB"	"CTN"	2	0.07
"SB"	"CTN"	3	0.25
"SB"	"CTN"	4	0.19
"SB"	"CTN"	5	0.08
"SB"	"CTN"	6	0
"SB"	"CTN"	7	0.06
"SB"	"CTN"	8	0.07
"SB"	"CTN"	0	
"SB"	"CTN"	1	0.07
"SB"	"CTN"	2	0.07
"SB"	"CTN"	3	0.08
"SB"	"CTN"	4	0.13
"SB"	"CTN"	5	0.17
"SB"	"CTN"	6	0.08
"SB"	"CTN"	7	0.19
"SB"	"CTN"	8	0.36
"SB"	"CTN"	0	
"SB"	"CTN"	1	0.07
"SB"	"CTN"	2	0.07
"SB"	"CTN"	3	0.17
"SB"	"CTN"	4	0.13
"SB"	"CTN"	5	0.08
"SB"	"CTN"	6	0
"SB"	"CTN"	7	0.06
"SB"	"CTN"	8	0
"TY"	"TCN"	0	
"TY"	"TCN"	1	0.14
"TY"	"TCN"	2	0.29
"TY"	"TCN"	3	0.33
"TY"	"TCN"	4	0.19
"TY"	"TCN"	5	0.25
"TY"	"TCN"	6	0.17
"TY"	"TCN"	7	0.13
"TY"	"TCN"	8	0.14
"TY"	"TCN"	0	
"TY"	"TCN"	1	0.14
"TY"	"TCN"	2	0.14
"TY"	"TCN"	3	0.33
"TY"	"TCN"	4	0
"TY"	"TCN"	5	0.25
"TY"	"TCN"	6	0.17
"TY"	"TCN"	7	0.13
"TY"	"TCN"	8	0
"TY"	"TCN"	0	
"TY"	"TCN"	1	0
"TY"	"TCN"	2	0.14
