	R1_count	R2_count	R1_mode_length	R1_count_at_mode_length	R2_mode_length	R2_count_at_mode_length	Mode_overlap	Count_at_mode_overlap
AS2014	16994	16737	130	16994	130	16672	8	14023
AS2082	36080	36189	130	36080	130	35308	8	27719
Tank-2C	19112	19285	130	19112	130	18842	8	15469
AS2075	20743	20628	130	20743	130	20435	8	17617
AS2160	19792	19785	130	19792	130	19384	8	16245
AS2034	19853	19521	130	19853	130	19451	8	16602
AS2116	15351	15100	130	15351	130	15051	8	12441
AS2023	19446	19136	130	19446	130	19068	8	15955
AS2036	21876	21531	130	21876	130	21461	8	18301
AS2006	18347	18061	130	18347	130	17995	8	14835
AS2079	19280	19167	130	19280	130	18959	8	15824
AS2020	25045	24702	130	25045	130	24606	8	20589
Tank-13A	12922	12983	130	12922	130	12703	8	9889
AS2045	15381	15255	130	15381	130	15180	8	12295
AS2202	6472	6419	130	6472	130	6400	8	5194
AS2073	17922	17725	130	17922	130	17646	8	15035
AS2048	19164	18921	130	19164	130	18842	8	15778
AS2016	19905	19618	130	19905	130	19548	8	16485
AS2040	22615	22241	130	22615	130	22154	8	18632
AS2054	20852	20936	130	20852	130	20543	8	17916
Tank-12B	31869	33042	130	31869	130	31457	8	26227
AS2041	32377	32692	130	32377	130	31719	8	23209
AS2138	21454	21537	130	21454	130	21118	8	17480
AS2066	22283	22070	130	22283	130	21882	8	18496
AS2122	31765	31761	130	31765	130	31027	8	24390
AS2067	19006	18827	130	19006	130	18707	8	15799
AS2003	20392	20054	130	20392	130	19980	8	17119
NTC-PCR22	242	244	130	242	130	240	8	183
AS2019	16933	16661	130	16933	130	16597	8	13898
Tank-16A	610	659	130	610	130	594	8	491
AS2104	19912	19653	130	19912	130	19547	8	16678
AS2098	19820	19608	130	19820	130	19499	8	16430
Tank-8B	2	2	130	2	130	2	0	2
AS2094	16555	16660	130	16555	130	16278	8	13899
AS2134	17301	17352	130	17301	130	16983	8	14297
NTC-22	95	96	130	95	130	94	8	67
AS2009	20832	20193	130	20832	130	20119	8	16711
AS2088	19869	19608	130	19869	130	19523	8	16858
AS2201	23716	23546	130	23716	130	23490	8	19412
AS2002	27585	27417	130	27585	130	26888	8	21530
AS2155	21157	21101	130	21157	130	20808	8	17567
AS2085	11312	11138	130	11312	130	11095	8	9431
NTC-21	47	49	130	47	130	43	8	30
AS2007	20570	20271	130	20570	130	20215	8	17206
AS2033	21659	21334	130	21659	130	21267	8	18220
AS2004	8463	8352	130	8463	130	8322	8	7021
AS2217	6126	6086	130	6126	130	6069	8	4823
AS2038	18746	18543	130	18746	130	18478	8	15869
AS2069	26330	26222	130	26330	130	25957	8	22135
AS2108	11643	11483	130	11643	130	11422	8	9607
Tank-2D	21476	21594	130	21476	130	21129	8	17894
AS2120	21698	21346	130	21698	130	21171	8	16907
AS2091	39338	39227	130	39338	130	38350	8	29839
AS2015	21506	21030	130	21506	130	20955	8	17551
AS2115	17615	17372	130	17615	130	17320	8	14373
AS2037	24294	23970	130	24294	130	23896	8	19695
Tank-12C	34	62	130	34	130	31	8	18
AS2145	22502	22132	130	22502	130	22048	8	18401
AS2047	21766	21530	130	21766	130	21430	8	17517
AS2008	21933	21638	130	21933	130	21567	8	18264
AS2068	21174	20980	130	21174	130	20804	8	17943
Tank-17D	25072	25218	130	25072	130	24679	8	20444
AS2058	18777	18647	130	18777	130	18487	8	15856
Tank-17B	14794	15036	130	14794	130	14578	8	12036
Tank-8D	12926	12974	130	12926	130	12688	8	10537
AS2078	20749	20692	130	20749	130	20412	8	17269
AS2095	20084	20422	130	20084	130	19771	8	17187
AS2035	14965	14729	130	14965	130	14663	8	12405
AS2081	32405	32192	130	32405	130	31731	8	25519
AS2013	23388	22968	130	23388	130	22888	8	19481
Tank-12A	57	80	130	57	130	52	8	38
AS2156	23253	22994	130	23253	130	22809	8	18360
AS2060	19770	19669	130	19770	130	19466	8	16387
AS2074	21749	21479	130	21749	130	21388	8	18194
AS2063	22179	21934	130	22179	130	21826	8	18308
Tank-3B	15975	16266	130	15975	130	15788	8	12870
AS2110	23783	23581	130	23783	130	23346	8	19911
AS2050	20154	19911	130	20154	130	19814	8	16087
Tank-7B	12669	12867	130	12669	130	12505	8	10443
AS2139	18658	18931	130	18658	130	18365	8	15696
AS2119	20761	20364	130	20761	130	20267	8	16085
AS2124	16795	16561	130	16795	130	16494	8	14034
Tank-2A	17425	17643	130	17425	130	17150	8	14343
AS2203	15585	15484	130	15585	130	15457	8	12376
AS2109	23091	22850	130	23091	130	22700	8	19313
AS2200	18529	18390	130	18529	130	18352	8	14959
AS2126	23634	23363	130	23634	130	23239	8	19683
AS2012	25110	24988	130	25110	130	24512	8	19473
AS2149	27476	27145	130	27476	130	26978	8	22784
AS2017	19656	19319	130	19656	130	19225	8	15785
Tank-3D	24633	24938	130	24633	130	24249	8	19882
AS2150	23777	23417	130	23777	130	23294	8	19726
AS2083	19962	19667	130	19962	130	19610	8	16597
Tank-8A	15884	16105	130	15884	130	15678	8	12744
AS2153	23704	23831	130	23704	130	23339	8	19416
AS2130	20387	20000	130	20387	130	19931	8	17065
AS2084	1195	1185	130	1195	130	1180	8	998
Tank-16D	13392	13398	130	13392	130	13168	8	10916
AS2100	11467	11344	130	11467	130	11273	8	9778
AS2147	21860	21659	130	21860	130	21532	8	18097
AS2205	15681	15563	130	15681	130	15533	8	12666
AS2024	20754	20468	130	20754	130	20393	8	17503
AS2106	17385	17171	130	17385	130	17129	8	14454
AS2093	16294	16794	130	16294	130	16042	8	13876
Tank-7A	23	40	130	23	130	22	8	15
AS2105	20325	20070	130	20325	130	19947	8	16727
AS2080	23535	23426	130	23535	130	23108	8	19630
AS2059	20020	19923	130	20020	130	19726	8	16586
AS2025	21467	21263	130	21467	130	21180	8	18288
AS2159	22143	22300	130	22143	130	21768	8	18458
AS2214	862	854	130	862	130	847	8	669
AS2097	14748	14595	130	14748	130	14543	8	12547
AS2144	26698	26380	130	26698	130	26251	8	21870
AS2051	49382	49733	130	49382	130	48305	8	38164
AS2157	23576	24693	130	23576	130	23200	8	19822
Tank-7D	175	185	130	175	130	172	8	135
Tank-17C	7	8	130	7	130	7	0	4
AS2146	20971	20640	130	20971	130	20576	8	17418
Tank-13C	65	117	130	65	130	57	8	28
